"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"490",2006,"European Communities (EC)","Croatia","","I.1.d. Post-Secondary Education",17920
"508",2008,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",95593
"873",2004,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",1015685
"959",2008,"Germany","Croatia","","I.1.d. Post-Secondary Education",573
"1063",2005,"United Nations Development Programme (UNDP)","Croatia","Communications","II.2. Communications",88849
"1233",2001,"Japan","Croatia","Other","IV.2. Other Multisector",479627
"1482",2007,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",96847
"1780",2006,"United Nations Children`s Fund (UNICEF)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",13629
"2223",2008,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",176308
"2697",2003,"Norway","Croatia","Women","I.5.a. Government & Civil Society-general",54107
"3307",2001,"Finland","Croatia","Emergency response","XI. Refugees in Donor Countries",693892
"4252",1999,"Austria","Croatia","","I.1.a. Education, Level Unspecified",55396
"4339",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2235
"4850",2004,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",42679
"5079",2008,"United Nations Children`s Fund (UNICEF)","Croatia","Other","IV.2. Other Multisector",21
"5272",2006,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",24
"5442",2006,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1163719
"5708",2006,"Sweden","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",145480
"5772",2006,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",549052
"5810",2007,"Austria","Croatia","Unallocated/  unspecified","I.1.d. Post-Secondary Education",2613
"6127",2005,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",117260
"6329",2007,"European Communities (EC)","Croatia","Business and other services","II.5. Business & Other Services",16130075
"6445",2001,"Spain","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",22031
"6738",1996,"Austria","Croatia","","I.1.d. Post-Secondary Education",19413
"7023",2002,"United Kingdom","Croatia","","I.6. Other Social Infrastructure & Services",679666
"7231",2008,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",40801
"7493",1995,"Canada","Croatia","Emergency response","VIII.1. Emergency Response",19588
"7831",2008,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",53709
"8422",1998,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",28985
"8504",2000,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",33102
"8535",2004,"European Communities (EC)","Croatia","Conflict prevention and resolution, peace and security","I.5.a. Government & Civil Society-general",29346956
"8568",2006,"Germany","Croatia","Other","IV.2. Other Multisector",6225
"8625",2003,"Netherlands","Croatia","","XI. Refugees in Donor Countries",244421
"9118",2004,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",210774
"9263",2005,"Norway","Croatia","Health, general","I.2.a. Health, General",430463
"9502",2000,"United States","Croatia","Business and other services","II.5. Business & Other Services",3564722
"9539",2005,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",38530
"9798",2004,"United States","Croatia","General environmental protection","IV.1. General Environment Protection",35137
"10599",2005,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",97517
"10784",2001,"Netherlands","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",135282
"11915",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",3820
"11926",1998,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",2503
"12252",2008,"Germany","Croatia","","I.1.d. Post-Secondary Education",3349
"12345",2005,"Norway","Croatia","Transport and storage","II.1. Transport & Storage",637015
"13205",2007,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",16013
"13681",2002,"European Communities (EC)","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",183438
"14030",2005,"Sweden","Croatia","Agriculture","III.1.a. Agriculture",764571
"14623",2003,"Germany","Croatia","Other","IV.2. Other Multisector",1908260
"15340",2007,"United States","Croatia","Agriculture","III.1.a. Agriculture",107732
"15604",1999,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",2253005
"16204",2003,"Norway","Croatia","Water supply and sanitation","I.5.a. Government & Civil Society-general",1731428
"16356",1996,"Germany","Croatia","Action relating to debt","VII. Action Relating to Debt",99531782
"16370",1999,"Spain","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",2565
"17048",2006,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",86595
"17140",2008,"Germany","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",1037
"17426",2005,"Germany","Croatia","Other","I.5.a. Government & Civil Society-general",735203
"17439",1997,"Austria","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",2782002
"17839",2004,"France","Croatia","Agriculture","III.1.a. Agriculture",49722
"17888",1995,"Switzerland","Croatia","Emergency response","VIII.1. Emergency Response",6016561
"18276",2004,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",62082
"18279",2004,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",32413
